,date,logging_info,status
0,11-12-21 15:50:19,directory Project_Logs sucessfully created by create_directory funtion,INFO
1,22-11-21 15:17:59,directory Project_Logs sucessfully created by create_directory funtion,INFO
2,12-12-21 00:15:47,directory Project_Logs sucessfully created by create_directory funtion,INFO
3,12-12-21 01:14:26,directory static/user_upload sucessfully created by create_directory funtion,INFO
4,11-12-21 15:36:29,directory Project_Logs sucessfully created by create_directory funtion,INFO
5,27-11-21 23:32:24,directory Project_Logs sucessfully created by create_directory funtion,INFO
6,22-11-21 08:52:09,directory Project_Logs sucessfully created by create_directory funtion,INFO
7,12-12-21 02:40:49,directory static/user_upload sucessfully created by create_directory funtion,INFO
8,12-12-21 02:34:47,directory static/user_upload sucessfully created by create_directory funtion,INFO
9,29-11-21 04:52:16,directory Project_Logs sucessfully created by create_directory funtion,INFO
10,12-12-21 00:08:25,directory static/user_upload sucessfully created by create_directory funtion,INFO
11,22-11-21 15:27:15,directory Project_Logs sucessfully created by create_directory funtion,INFO
12,12-12-21 02:48:02,directory Project_Logs sucessfully created by create_directory funtion,INFO
13,12-12-21 00:30:11,directory static/user_upload sucessfully created by create_directory funtion,INFO
14,12-12-21 00:13:42,directory static/user_upload sucessfully created by create_directory funtion,INFO
15,28-11-21 10:18:23,directory Project_Logs sucessfully created by create_directory funtion,INFO
16,12-12-21 00:19:14,directory static/user_upload sucessfully created by create_directory funtion,INFO
17,12-12-21 00:12:23,directory static/user_upload sucessfully created by create_directory funtion,INFO
18,11-12-21 16:38:18,directory Project_Logs sucessfully created by create_directory funtion,INFO
19,12-12-21 02:40:51,directory static/user_upload sucessfully created by create_directory funtion,INFO
20,22-11-21 15:22:04,directory Project_Logs sucessfully created by create_directory funtion,INFO
21,12-12-21 00:30:13,directory static/user_upload sucessfully created by create_directory funtion,INFO
22,12-12-21 14:35:29,directory static/user_upload sucessfully created by create_directory funtion,INFO
23,28-11-21 14:07:50,directory Project_Logs sucessfully created by create_directory funtion,INFO
24,12-12-21 00:13:04,directory static/user_upload sucessfully created by create_directory funtion,INFO
25,12-12-21 00:13:30,directory static/user_upload sucessfully created by create_directory funtion,INFO
26,12-12-21 02:47:13,directory static/user_upload sucessfully created by create_directory funtion,INFO
27,11-12-21 15:42:16,directory Project_Logs sucessfully created by create_directory funtion,INFO
28,12-12-21 00:18:25,directory static/user_upload sucessfully created by create_directory funtion,INFO
29,11-12-21 17:58:49,directory Project_Logs sucessfully created by create_directory funtion,INFO
30,12-12-21 00:08:27,directory static/user_upload sucessfully created by create_directory funtion,INFO
31,11-12-21 17:36:41,directory Project_Logs sucessfully created by create_directory funtion,INFO
32,12-12-21 02:35:04,directory Project_Logs sucessfully created by create_directory funtion,INFO
33,11-12-21 17:58:48,directory Project_Logs sucessfully created by create_directory funtion,INFO
34,12-12-21 13:51:46,directory Project_Logs sucessfully created by create_directory funtion,INFO
35,29-11-21 04:49:51,directory Project_Logs sucessfully created by create_directory funtion,INFO
36,12-12-21 13:48:43,directory static/user_upload sucessfully created by create_directory funtion,INFO
37,12-12-21 00:22:53,directory static/user_upload sucessfully created by create_directory funtion,INFO
38,27-11-21 23:36:42,directory Project_Logs sucessfully created by create_directory funtion,INFO
39,12-12-21 01:05:55,directory static/user_upload sucessfully created by create_directory funtion,INFO
40,27-11-21 23:28:44,directory Project_Logs sucessfully created by create_directory funtion,INFO
41,12-12-21 00:23:57,directory Project_Logs sucessfully created by create_directory funtion,INFO
42,12-12-21 01:14:38,directory static/user_upload sucessfully created by create_directory funtion,INFO
43,27-11-21 23:29:48,directory Project_Logs sucessfully created by create_directory funtion,INFO
44,12-12-21 02:47:48,directory static/user_upload sucessfully created by create_directory funtion,INFO
45,12-12-21 00:22:07,directory static/user_upload sucessfully created by create_directory funtion,INFO
46,12-12-21 00:12:46,directory static/user_upload sucessfully created by create_directory funtion,INFO
47,12-12-21 13:48:45,directory static/user_upload sucessfully created by create_directory funtion,INFO
48,12-12-21 00:19:12,directory static/user_upload sucessfully created by create_directory funtion,INFO
49,12-12-21 00:23:45,directory static/user_upload sucessfully created by create_directory funtion,INFO
50,12-12-21 00:30:41,directory Project_Logs sucessfully created by create_directory funtion,INFO
51,12-12-21 00:08:42,directory Project_Logs sucessfully created by create_directory funtion,INFO
52,12-12-21 02:39:45,directory static/user_upload sucessfully created by create_directory funtion,INFO
53,12-12-21 02:47:51,directory static/user_upload sucessfully created by create_directory funtion,INFO
54,28-11-21 11:23:02,directory Project_Logs sucessfully created by create_directory funtion,INFO
55,12-12-21 02:50:49,directory static/user_upload sucessfully created by create_directory funtion,INFO
56,11-12-21 16:10:15,directory Project_Logs sucessfully created by create_directory funtion,INFO
57,22-11-21 00:14:33,directory Project_Logs sucessfully created by create_directory funtion,INFO
58,11-12-21 12:10:56,directory Project_Logs sucessfully created by create_directory funtion,INFO
59,12-12-21 00:15:25,directory static/user_upload sucessfully created by create_directory funtion,INFO
60,11-12-21 19:10:37,directory Project_Logs sucessfully created by create_directory funtion,INFO
61,22-11-21 09:17:52,directory Project_Logs sucessfully created by create_directory funtion,INFO
62,28-11-21 10:20:50,directory Project_Logs sucessfully created by create_directory funtion,INFO
63,12-12-21 00:19:45,directory Project_Logs sucessfully created by create_directory funtion,INFO
64,12-12-21 00:24:32,directory Project_Logs sucessfully created by create_directory funtion,INFO
65,12-12-21 14:35:27,directory static/user_upload sucessfully created by create_directory funtion,INFO
66,11-12-21 17:55:49,directory Project_Logs sucessfully created by create_directory funtion,INFO
67,12-12-21 13:49:01,directory Project_Logs sucessfully created by create_directory funtion,INFO
68,11-12-21 19:27:28,directory static/user_upload sucessfully created by create_directory funtion,INFO
69,12-12-21 02:47:41,directory static/user_upload sucessfully created by create_directory funtion,INFO
70,11-12-21 17:50:09,directory Project_Logs sucessfully created by create_directory funtion,INFO
71,11-12-21 19:27:25,directory static/user_upload sucessfully created by create_directory funtion,INFO
