,date,logging_info,status
0,11-12-21 19:13:46,kidney_disease_pred funtion run sucessfully,INFO
1,22-11-21 09:24:46,sucessfully read the model in path Model/Chest XRay Pnemonia xception model.h5,INFO
2,28-11-21 14:06:15,sucessfully read the model in path Model/Chest XRay Pnemonia xception model.h5,INFO
3,11-12-21 19:19:12,kidney_disease_pred funtion run sucessfully,INFO
4,28-11-21 14:05:12,kidney_disease_pred funtion run sucessfully,INFO
5,22-11-21 15:19:12,kidney_disease_pred funtion run sucessfully,INFO
6,28-11-21 14:06:49,kidney_disease_pred funtion run sucessfully,INFO
7,27-11-21 23:37:18,sucessfully read the model in path Model/Various Plant Disease Detection Model1.h5,INFO
8,11-12-21 19:13:45,sucessfully read the model in path Model/skin cancer vgg16 model.h5,INFO
9,22-11-21 09:27:14,sucessfully read the model in path Model/Chest XRay Pnemonia xception model.h5,INFO
10,22-11-21 15:21:26,kidney_disease_pred funtion run sucessfully,INFO
11,22-11-21 15:19:11,sucessfully read the model in path Model/Various Plant Disease Detection Model1.h5,INFO
12,22-11-21 09:24:20,sucessfully read the model in path Model/Chest XRay Pnemonia xception model.h5,INFO
13,22-11-21 15:20:55,sucessfully read the model in path Model/Chest XRay Pnemonia xception model.h5,INFO
14,27-11-21 23:37:19,kidney_disease_pred funtion run sucessfully,INFO
